0, 2
1, 2
2, 27
3, 7
4, 4
5, 2
6, 1
7, 1
8, 14
9, 3
10, 1
11, 9
12, 2
13, 5
14, 1
15, 3
16, 3
17, 5
18, 3
19, 18
20, 1
21, 1
22, 16
23, 1
24, 3
25, 1
26, 71
27, 5
28, 1
29, 7
30, 4
31, 2
32, 3
33, 58
34, 6
35, 2
36, 2
37, 1
38, 2
39, 35
40, 1
41, 1
42, 60
43, 1
44, 1
45, 2
46, 3
47, 1
48, 1
49, 1
50, 385
51, 1179
52, 30
53, 5
54, 112
55, 1
56, 1
57, 4
58, 2
59, 1
60, 2
61, 1
62, 3
63, 10
64, 4
65, 1
66, 107
67, 1
68, 4
69, 1
70, 4
71, 3
72, 1
73, 1
74, 1
75, 15
76, 1
77, 1
78, 5
79, 20
80, 2
81, 2
82, 191
83, 6
84, 28
85, 1
86, 2
87, 9
88, 347
89, 2
90, 5
91, 4
92, 30
93, 1
94, 1
95, 1
96, 3
97, 2
98, 5
99, 2
100, 24
101, 1
102, 1
103, 10
104, 1
105, 10
106, 6
107, 3
108, 9
109, 29
110, 13
111, 1
112, 1
113, 7
114, 297
115, 172
116, 1
117, 5
118, 1
119, 8
120, 8
121, 23
122, 26
123, 3
124, 8
125, 1
126, 2
127, 3
128, 1
129, 11
130, 3
131, 4
132, 2
133, 14
134, 876
135, 1
136, 1
137, 2
138, 727
139, 2
140, 2
141, 143
142, 4
143, 17
144, 1
145, 1
146, 1
147, 1
148, 2
149, 4
150, 4
151, 7
152, 1
153, 1
154, 1
155, 2
156, 1
157, 18
158, 1
159, 2
160, 1
161, 4
162, 5
163, 2
164, 44
165, 18
166, 22
167, 14
168, 1
169, 14
170, 1
171, 1
172, 2
173, 1
174, 141
175, 73
176, 2
177, 2
178, 3
179, 6
180, 1
181, 46
182, 1
183, 3
184, 4
185, 2
186, 2
187, 2
188, 82
189, 27
190, 1
191, 35
192, 2
193, 1
194, 7
195, 49
196, 1
197, 1
198, 2
199, 1
200, 25
201, 13
202, 2
203, 1
204, 602
205, 2
206, 2
207, 1
208, 3
209, 4
210, 33
211, 3
212, 4
213, 1
214, 64
215, 1
216, 210
217, 1
218, 5
219, 3
220, 17
221, 1
222, 3
223, 120
224, 1
225, 80
226, 1
227, 46
228, 2
229, 12
230, 6
231, 5
232, 1
233, 6
234, 1
235, 1
236, 1
237, 49
238, 5
239, 8
240, 4
241, 81
242, 1
243, 2
244, 1
245, 6
246, 1
247, 1
248, 1
249, 14
250, 7
251, 7
252, 2
253, 1
254, 2
255, 15
256, 1
257, 20
258, 83
259, 9
260, 10
261, 23
262, 2
263, 2
264, 1
265, 1
266, 1647
267, 3
268, 46
269, 4
270, 1
271, 5
272, 3
273, 2
274, 3
275, 1
276, 3
277, 4
278, 1
279, 99
280, 13
281, 10
282, 2
283, 1
284, 2
285, 1
286, 20
287, 1
288, 1
289, 18
290, 821
291, 3
292, 12
293, 17
294, 1
295, 1
296, 1
297, 3
298, 1
299, 3
300, 1
301, 7
302, 461
303, 1
304, 1
305, 9
306, 127
307, 2
308, 207
309, 1
310, 4
311, 54
312, 12
313, 10
314, 3
315, 1
316, 8
317, 1
318, 1
319, 2
320, 15
321, 3
322, 1
323, 601
324, 10
325, 7
326, 1
327, 1
328, 11
329, 1
330, 31
331, 3
332, 1
333, 6
334, 1
335, 2
336, 2
337, 8
338, 1
339, 1
340, 28
341, 1
342, 2
343, 1
344, 2
345, 4
346, 1
347, 2
348, 141
349, 141
350, 2
351, 16
352, 50
353, 5
354, 28
355, 2
356, 1
357, 2
358, 4
359, 2
360, 1
361, 1
362, 1
363, 5
364, 1
365, 6
366, 6
367, 2
368, 2
369, 1
370, 1
371, 1
372, 2
373, 1
374, 7
375, 3
376, 2
377, 72
378, 1
379, 14
380, 19
381, 1
382, 1
383, 3
384, 1
385, 5
386, 8
387, 3
388, 54
389, 638
390, 1
391, 450
392, 1
393, 8
394, 4
395, 7
396, 8
397, 2
398, 2
399, 1
400, 85
401, 1
402, 1
403, 2
404, 9
405, 1
406, 2
407, 1
408, 6
409, 21
410, 4
411, 1
412, 10
413, 2
414, 1
415, 1
416, 1
417, 1
418, 5
419, 4
420, 1
421, 1
422, 1
423, 1
424, 9
425, 26
426, 3
427, 1
428, 2
429, 1
430, 3
431, 1
432, 1
433, 5
434, 5
435, 26
436, 1
437, 1
