chart,10,success, time: 266,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 260,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 273,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 261,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 261,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 262,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 290,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 283,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 284,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 258,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
chart,10,success, time: 257,num: 1, compileerror:0, testfailure:0, checklines:0, checklocus:1, checkchange:0, locchange:0
